player_name,career_total_runs,playing_role,batting_style,bowling_style,player_id,field_pos,player_image,full_name,country,date_of_birth,total_runs_test,matches_test,batting_average_test,strike_rate_test,centuries_test,half_centuries_test,wickets_test,economy_test,bowling_average_test,total_runs_odi,matches_odi,batting_average_odi,strike_rate_odi,centuries_odi,half_centuries_odi,wickets_odi,economy_odi,bowling_average_odi,total_runs_t20i,matches_t20i,batting_average_t20i,strike_rate_t20i,centuries_t20i,half_centuries_t20i,wickets_t20i,economy_t20i,bowling_average_t20i,career_total_runs2,career_total_wickets,catches,stumpings,formats_played,played_since_year
Ajinkya Madhukar Rahane,5032,,Right hand Bat,Right arm Medium,34, ,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Ajinkya%20Rahane.png,Player_606,New Zealand,20-04-1996,14171,86,24.92,101.06,13,17,1,8.36,32.18,6460,384,50.24,69.69,32,29,219,4.86,35.97,7915,186,38.61,92.54,4,61,49,2.25,42.05,28546,269,35,19,T20I,2021
Abraham Benjamin de Villiers,5162,,Right hand Bat,Right arm Medium,245,Wicketkeeper,,Player_503,Afghanistan,13-06-1984,4473,259,36.55,122.06,34,88,181,6.86,47.44,4795,176,31.79,90.77,19,87,226,5.79,35.09,7975,231,21.63,56.01,31,83,33,7.38,27.42,17243,440,238,44,ODI,2002
Kannaur Lokesh Rahul,5222,,Right hand Bat, ,1409,Wicketkeeper,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/KL%20Rahul.png,Player_732,Sri Lanka,07-07-2010,4599,190,53.78,50.57,11,50,351,7.03,48.12,6837,116,58.12,141.49,8,29,193,3.3,33.29,3359,390,19.95,59.55,25,2,297,3.46,42.94,14795,841,126,14,"T20I,Test",2004
Mahendra Singh Dhoni,5439,,Right hand Bat,Right arm Medium,38,Wicketkeeper,,Player_531,Sri Lanka,21-05-2016,8465,218,40.34,84.48,11,72,197,9.81,36.51,4677,46,12.23,109.39,28,79,299,5.46,48.38,1896,239,44.34,71.63,39,13,696,5.22,49.74,15038,1192,414,45,"ODI,Test,T20I",2001
Suresh Kumar Raina,5528,,Left hand Bat,Right arm Offbreak,47, ,,Player_22,Afghanistan,01-02-1997,1639,333,29.38,126.23,0,41,176,8.76,31.53,4357,138,50.63,60.82,38,4,107,8.72,28.47,1089,198,34.35,103.85,12,7,185,9.47,18.92,7085,468,23,21,"Test,T20I,ODI",2001
David Andrew Warner,6565,,Left hand Bat,Legbreak,12, ,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/David%20Warner.png,Player_7,Zimbabwe,02-12-1992,7674,106,52.1,118.8,17,75,562,5.91,46.67,13283,252,35.09,139.57,36,56,309,8.35,43.46,7772,215,25.14,64.42,8,22,73,6,38.59,28729,944,446,38,Test,2015
Shikhar Dhawan,6769,,Left hand Bat,Right arm Offbreak,13, ,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Shikhar%20Dhawan.png,Player_697,Pakistan,13-08-1985,13042,396,51.19,132.38,14,23,186,2.39,33.94,1861,93,16.49,50.84,18,78,408,4.18,28.62,8417,398,56.99,69.05,44,25,410,6.34,22.96,23320,1004,181,19,T20I,2003
Rohit Gurunath Sharma,7046,,Right hand Bat,Right arm Offbreak,25, ,,Player_330,England,02-01-1999,3738,380,53.86,135.07,29,39,615,6.4,21.24,6214,230,44.74,117.71,4,37,276,6.88,44.9,7250,158,14.98,125.98,1,45,512,4.61,27.49,17202,1403,67,40,"Test,T20I,ODI",2008
Virat Kohli,8661,,Right hand Bat,Right arm Medium,332, ,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Virat%20Kohli.png,Player_59,South Africa,15-06-1990,5604,300,59.56,149.02,1,73,490,7.82,32.01,3400,210,31.58,127.1,41,47,38,9.79,23.98,3155,33,54.07,93.02,5,19,727,3.14,47.67,12159,1255,109,46,ODI,2012
Mohsin Khan,,,Left hand Bat,Left arm Medium fast,6730,,,Player_1,South Africa,29-06-2003,9977,0,51.63,54.3,37,44,373,7.95,27.43,7013,103,23.15,80.54,12,99,244,9.78,37.21,14251,38,18.56,68.53,44,83,201,3.64,18.19,31241,818,97,22,"T20I,ODI,Test",2012
